asu_id,first_name,last_name,email,student_salary_monthly,total_student_debt,interest_rate,repayment_period_years,monthly_emi,loan_start_date,payments_made,remaining_balance,years_remaining,annual_salary,monthly_salary_gross,monthly_salary_net,debt_to_income_ratio,repayment_status,retirement_contribution_pct,monthly_401k_contribution
ASU00000011,Michael,Thomas,employee11@asu.edu,800.0,30000,6.54,10,341.25,2024-01-02,21,25341.94,8.2,44000,3666.67,2750.0,12.41,Moderate Burden,4.8,176.0
ASU00000012,Daniel,Moore,employee12@asu.edu,800.0,66900,7.05,10,778.49,2017-11-06,96,18322.22,2.0,66000,5500.0,4125.0,18.87,High Burden,4.1,225.5
ASU00000013,James,Williams,employee13@asu.edu,1000.0,0,0.0,0,0.0,N/A,0,0.0,0.0,38000,3166.67,2375.0,0.0,No Debt,12.4,392.67
ASU00000014,James,Thomas,employee14@asu.edu,1500.0,51400,6.54,10,584.68,2024-06-18,15,45699.37,8.8,35000,2916.67,2187.5,26.73,High Burden,3.8,110.83
ASU00000015,Jessica,Garcia,employee15@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,87000,7250.0,5437.5,0.0,No Debt,14.6,1058.5
ASU00000016,David,Johnson,employee16@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,46000,3833.33,2875.0,0.0,No Debt,10.6,406.33
ASU00000017,Sarah,Williams,employee17@asu.edu,800.0,66300,6.54,20,495.88,2017-12-24,94,36001.73,12.2,35000,2916.67,2187.5,22.67,High Burden,4.1,119.58
ASU00000018,Jessica,Jones,employee18@asu.edu,800.0,35100,6.54,10,399.27,2023-04-14,30,27314.24,7.5,88000,7333.33,5500.0,7.26,Manageable,14.7,1078.0
ASU00000019,Jessica,Jackson,employee19@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,46000,3833.33,2875.0,0.0,No Debt,7.4,283.67
ASU00000020,Michael,Rodriguez,employee20@asu.edu,800.0,30000,5.5,10,325.58,2021-08-25,50,19418.65,5.8,35000,2916.67,2187.5,14.88,Moderate Burden,9.2,268.33
ASU00000021,Emily,Johnson,employee21@asu.edu,800.0,49700,5.28,15,400.31,2016-02-10,117,19256.42,5.2,49000,4083.33,3062.5,13.07,Moderate Burden,4.9,200.08
ASU00000022,David,Martinez,employee22@asu.edu,1000.0,0,0.0,0,0.0,N/A,0,0.0,0.0,53000,4416.67,3312.5,0.0,No Debt,7.8,344.5
ASU00000023,Jane,Davis,employee23@asu.edu,800.0,30600,6.54,10,348.08,2015-10-11,120,3449.76,0.0,35000,2916.67,2187.5,15.91,High Burden,1.3,37.92
ASU00000024,Jessica,Moore,employee24@asu.edu,800.0,30000,7.05,15,270.49,2023-10-13,24,25780.36,13.0,38000,3166.67,2375.0,11.39,Moderate Burden,4.1,129.83
ASU00000025,Lisa,Johnson,employee25@asu.edu,1200.0,56000,5.5,10,607.75,2018-02-21,92,19656.55,2.3,47000,3916.67,2937.5,20.69,High Burden,2.1,82.25
ASU00000026,Jennifer,Anderson,employee26@asu.edu,800.0,34100,6.54,15,297.8,2021-05-17,53,23840.79,10.6,40000,3333.33,2500.0,11.91,Moderate Burden,6.5,216.67
ASU00000027,Emily,Thomas,employee27@asu.edu,800.0,30000,6.54,15,261.99,2019-12-16,70,18079.46,9.2,57000,4750.0,3562.5,7.35,Manageable,8.7,413.25
ASU00000028,Jane,Jones,employee28@asu.edu,1600.0,79000,5.28,10,848.77,2016-04-25,115,15554.44,0.4,63000,5250.0,3937.5,21.56,High Burden,0.2,10.5
ASU00000029,Amanda,Miller,employee29@asu.edu,800.0,30000,5.28,15,241.64,2022-02-25,43,23246.16,11.4,43000,3583.33,2687.5,8.99,Moderate Burden,5.2,186.33
ASU00000030,Lisa,Davis,employee30@asu.edu,1000.0,30000,7.05,10,349.1,2018-06-14,89,9804.56,2.6,55000,4583.33,3437.5,10.16,Moderate Burden,5.5,252.08
ASU00000031,David,Smith,employee31@asu.edu,800.0,71400,6.08,20,514.83,2017-01-11,106,35928.21,11.2,35000,2916.67,2187.5,23.54,High Burden,0.5,14.58
ASU00000032,John,Garcia,employee32@asu.edu,1200.0,30600,4.99,10,324.41,2018-10-31,84,12887.21,3.0,45000,3750.0,2812.5,11.53,Moderate Burden,7.4,277.5
ASU00000033,Lisa,Smith,employee33@asu.edu,800.0,30000,6.08,10,334.27,2022-02-04,44,20439.88,6.3,35000,2916.67,2187.5,15.28,High Burden,3.2,93.33
ASU00000034,Maria,Johnson,employee34@asu.edu,800.0,58800,6.08,10,655.17,2022-04-08,42,40913.86,6.5,72000,6000.0,4500.0,14.56,Moderate Burden,9.3,558.0
ASU00000035,Emily,Jackson,employee35@asu.edu,800.0,68300,7.05,20,531.58,2021-08-12,50,51023.65,15.8,48000,4000.0,3000.0,17.72,High Burden,0.0,0.0
ASU00000036,Christopher,Smith,employee36@asu.edu,1000.0,30000,5.5,10,325.58,2022-10-15,36,22381.43,7.0,35000,2916.67,2187.5,14.88,Moderate Burden,6.6,192.5
ASU00000037,Lisa,Anderson,employee37@asu.edu,800.0,68300,7.05,20,531.58,2017-09-23,97,34783.88,11.9,62000,5166.67,3875.0,13.72,Moderate Burden,6.0,310.0
ASU00000038,Robert,Jones,employee38@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,41000,3416.67,2562.5,0.0,No Debt,12.0,410.0
ASU00000039,John,Martinez,employee39@asu.edu,800.0,30000,6.54,15,261.99,2020-01-30,69,18249.75,9.2,47000,3916.67,2937.5,8.92,Moderate Burden,8.0,313.33
ASU00000040,James,Jackson,employee40@asu.edu,800.0,58800,6.54,10,668.86,2023-11-17,22,49235.3,8.2,35000,2916.67,2187.5,30.58,High Burden,2.4,70.0
ASU00000041,James,Rodriguez,employee41@asu.edu,800.0,62800,6.54,20,469.7,2020-07-30,63,43565.78,14.8,42000,3500.0,2625.0,17.89,High Burden,3.6,126.0
ASU00000042,Matthew,Garcia,employee42@asu.edu,800.0,71900,4.99,20,474.11,2020-07-10,63,52485.2,14.8,44000,3666.67,2750.0,17.24,High Burden,4.3,157.67
ASU00000043,Maria,Anderson,employee43@asu.edu,1000.0,42500,5.5,10,461.24,2021-10-29,47,28409.12,6.1,103000,8583.33,6437.5,7.16,Manageable,6.6,566.5
ASU00000044,Amanda,Anderson,employee44@asu.edu,800.0,30000,5.5,10,325.58,2019-06-10,77,13704.72,3.6,35000,2916.67,2187.5,14.88,Moderate Burden,3.1,90.42
ASU00000045,Lisa,Smith,employee45@asu.edu,800.0,30000,6.54,10,341.25,2020-05-13,65,15582.19,4.6,64000,5333.33,4000.0,8.53,Moderate Burden,7.9,421.33
ASU00000046,Lisa,Thomas,employee46@asu.edu,800.0,76800,6.08,10,855.73,2018-12-21,82,31189.59,3.2,68000,5666.67,4250.0,20.13,High Burden,1.2,68.0
ASU00000047,Amanda,Smith,employee47@asu.edu,1000.0,30000,4.99,10,318.05,2023-09-12,25,24831.69,7.9,40000,3333.33,2500.0,12.72,Moderate Burden,5.9,196.67
ASU00000048,Matthew,Johnson,employee48@asu.edu,800.0,42500,6.08,10,473.55,2018-02-10,93,13873.9,2.2,38000,3166.67,2375.0,19.94,High Burden,4.9,155.17
ASU00000049,Jennifer,Rodriguez,employee49@asu.edu,1200.0,30000,5.28,10,322.32,2024-09-21,12,27485.9,9.0,60000,5000.0,3750.0,8.6,Moderate Burden,9.6,480.0
ASU00000050,Jennifer,Williams,employee50@asu.edu,800.0,30000,5.5,10,325.58,2022-06-14,40,21534.92,6.7,51000,4250.0,3187.5,10.21,Moderate Burden,7.2,306.0
ASU00000051,Matthew,Jackson,employee51@asu.edu,800.0,30000,5.5,10,325.58,2022-05-22,41,21323.29,6.6,61000,5083.33,3812.5,8.54,Moderate Burden,7.6,386.33
ASU00000052,Jennifer,Smith,employee52@asu.edu,800.0,30000,6.08,15,254.46,2023-03-19,31,24872.63,12.4,36000,3000.0,2250.0,11.31,Moderate Burden,3.4,102.0
ASU00000053,Michael,Jones,employee53@asu.edu,1200.0,30000,4.99,15,237.08,2018-10-19,84,17055.43,8.0,76000,6333.33,4750.0,4.99,Manageable,7.4,468.67
ASU00000054,Lisa,Miller,employee54@asu.edu,800.0,59700,5.5,10,647.9,2019-03-28,79,26430.34,3.4,42000,3500.0,2625.0,24.68,High Burden,3.0,105.0
ASU00000055,Daniel,Garcia,employee55@asu.edu,800.0,30000,6.08,15,254.46,2018-05-31,89,15279.49,7.6,35000,2916.67,2187.5,11.63,Moderate Burden,6.8,198.33
ASU00000056,Sarah,Taylor,employee56@asu.edu,1000.0,30000,7.05,15,270.49,2020-04-04,67,18220.16,9.4,36000,3000.0,2250.0,12.02,Moderate Burden,8.4,252.0
ASU00000057,Amanda,Smith,employee57@asu.edu,800.0,64500,7.05,20,502.01,2017-11-01,96,33174.58,12.0,59000,4916.67,3687.5,13.61,Moderate Burden,5.2,255.67
ASU00000058,Robert,Jones,employee58@asu.edu,1600.0,30000,4.99,10,318.05,2017-08-27,98,9740.22,1.8,53000,4416.67,3312.5,9.6,Moderate Burden,5.5,242.92
ASU00000059,Michael,Jackson,employee59@asu.edu,800.0,30000,6.08,10,334.27,2023-10-16,24,24785.39,8.0,41000,3416.67,2562.5,13.04,Moderate Burden,4.8,164.0
ASU00000060,David,Jones,employee60@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,35000,2916.67,2187.5,0.0,No Debt,11.0,320.83
ASU00000061,Michael,Garcia,employee61@asu.edu,800.0,30000,4.99,15,237.08,2020-03-25,67,19675.17,9.4,43000,3583.33,2687.5,8.82,Moderate Burden,9.6,344.0
ASU00000062,Daniel,Williams,employee62@asu.edu,1600.0,73700,6.54,20,551.22,2016-03-23,116,32138.01,10.3,49000,4083.33,3062.5,18.0,High Burden,3.8,155.17
ASU00000063,David,Jones,employee63@asu.edu,1200.0,31800,4.99,15,251.31,2016-04-30,114,13177.93,5.5,66000,5500.0,4125.0,6.09,Manageable,9.1,500.5
ASU00000064,Robert,Miller,employee64@asu.edu,800.0,38900,5.28,15,313.32,2018-07-10,88,20978.1,7.7,41000,3416.67,2562.5,12.23,Moderate Burden,8.1,276.75
ASU00000065,Daniel,Jones,employee65@asu.edu,1200.0,30000,6.54,10,341.25,2024-09-01,13,27116.44,8.9,35000,2916.67,2187.5,15.6,High Burden,1.4,40.83
ASU00000066,Jane,Jones,employee66@asu.edu,1600.0,50900,6.08,10,567.14,2018-01-11,94,16247.75,2.2,51000,4250.0,3187.5,17.79,High Burden,3.2,136.0
ASU00000067,Sarah,Jones,employee67@asu.edu,800.0,30000,6.54,10,341.25,2021-12-14,46,19796.62,6.2,41000,3416.67,2562.5,13.32,Moderate Burden,3.9,133.25
ASU00000068,Robert,Martinez,employee68@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,49000,4083.33,3062.5,0.0,No Debt,11.3,461.42
ASU00000069,Lisa,Martinez,employee69@asu.edu,800.0,73100,6.08,10,814.5,2019-01-15,81,30216.57,3.2,41000,3416.67,2562.5,31.79,High Burden,2.4,82.0
ASU00000070,Jennifer,Williams,employee70@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,46000,3833.33,2875.0,0.0,No Debt,7.7,295.17
ASU00000071,Jane,Smith,employee71@asu.edu,800.0,30000,7.05,15,270.49,2017-08-09,99,12593.97,6.8,40000,3333.33,2500.0,10.82,Moderate Burden,7.6,253.33
ASU00000072,Maria,Jones,employee72@asu.edu,800.0,48300,5.28,10,518.93,2017-02-18,105,12883.03,1.2,54000,4500.0,3375.0,15.38,High Burden,4.4,198.0
ASU00000073,Robert,Moore,employee73@asu.edu,800.0,64600,6.08,15,547.93,2024-06-15,15,59257.68,13.8,39000,3250.0,2437.5,22.48,High Burden,2.9,94.25
ASU00000074,Maria,Rodriguez,employee74@asu.edu,800.0,30000,5.5,15,245.13,2019-11-30,71,18687.25,9.1,35000,2916.67,2187.5,11.21,Moderate Burden,4.3,125.42
ASU00000075,David,Moore,employee75@asu.edu,800.0,50900,5.5,10,552.4,2018-01-27,93,17507.42,2.2,36000,3000.0,2250.0,24.55,High Burden,1.8,54.0
ASU00000076,Jane,Smith,employee76@asu.edu,800.0,30000,5.28,15,241.64,2021-06-27,52,21832.57,10.7,36000,3000.0,2250.0,10.74,Moderate Burden,9.8,294.0
ASU00000077,Sarah,Williams,employee77@asu.edu,1600.0,30000,4.99,15,237.08,2021-04-07,54,21678.49,10.5,36000,3000.0,2250.0,10.54,Moderate Burden,4.4,132.0
ASU00000078,Lisa,Thomas,employee78@asu.edu,800.0,121400,4.99,20,800.52,2023-06-29,27,107350.87,17.8,35000,2916.67,2187.5,36.6,High Burden,3.6,105.0
ASU00000079,Matthew,Thomas,employee79@asu.edu,800.0,30000,5.5,10,325.58,2020-09-10,61,17090.75,4.9,55000,4583.33,3437.5,9.47,Moderate Burden,9.7,444.58
ASU00000080,Lisa,Brown,employee80@asu.edu,1000.0,0,0.0,0,0.0,N/A,0,0.0,0.0,47000,3916.67,2937.5,0.0,No Debt,13.6,532.67
ASU00000081,Daniel,Moore,employee81@asu.edu,800.0,74400,5.28,10,799.35,2022-06-13,40,53616.9,6.7,40000,3333.33,2500.0,31.97,High Burden,0.3,10.0
ASU00000082,Lisa,Smith,employee82@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,35000,2916.67,2187.5,0.0,No Debt,13.8,402.5
ASU00000083,Christopher,Smith,employee83@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,47000,3916.67,2937.5,0.0,No Debt,11.7,458.25
ASU00000084,Jessica,Davis,employee84@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,35000,2916.67,2187.5,0.0,No Debt,13.6,396.67
ASU00000085,Matthew,Johnson,employee85@asu.edu,800.0,37900,5.5,10,411.31,2023-05-24,28,30414.16,7.7,76000,6333.33,4750.0,8.66,Moderate Burden,8.4,532.0
ASU00000086,Michael,Taylor,employee86@asu.edu,800.0,65100,6.08,10,725.36,2023-07-24,26,52841.42,7.8,35000,2916.67,2187.5,33.16,High Burden,5.0,145.83
ASU00000087,Jennifer,Jackson,employee87@asu.edu,1000.0,0,0.0,0,0.0,N/A,0,0.0,0.0,44000,3666.67,2750.0,0.0,No Debt,11.5,421.67
ASU00000088,John,Davis,employee88@asu.edu,1600.0,30000,4.99,10,318.05,2018-12-21,82,13047.93,3.2,47000,3916.67,2937.5,10.83,Moderate Burden,8.6,336.83
ASU00000089,Sarah,Miller,employee89@asu.edu,1200.0,57600,6.54,15,503.03,2023-11-16,23,50079.7,13.1,35000,2916.67,2187.5,23.0,High Burden,4.1,119.58
ASU00000090,Jane,Martinez,employee90@asu.edu,800.0,30000,5.5,10,325.58,2019-12-07,71,14974.48,4.1,35000,2916.67,2187.5,14.88,Moderate Burden,6.9,201.25
ASU00000091,Jessica,Martinez,employee91@asu.edu,800.0,30000,5.5,15,245.13,2024-08-01,14,27769.32,13.8,96000,8000.0,6000.0,4.09,Manageable,9.3,744.0
ASU00000092,Sarah,Johnson,employee92@asu.edu,800.0,56300,5.28,10,604.88,2023-12-08,22,47650.22,8.2,44000,3666.67,2750.0,22.0,High Burden,4.1,150.33
ASU00000093,Jane,Garcia,employee93@asu.edu,800.0,30000,4.99,10,318.05,2022-02-08,44,20903.77,6.3,79000,6583.33,4937.5,6.44,Manageable,6.3,414.75
ASU00000094,Jennifer,Garcia,employee94@asu.edu,1500.0,0,0.0,0,0.0,N/A,0,0.0,0.0,45000,3750.0,2812.5,0.0,No Debt,14.7,551.25
ASU00000095,Emily,Williams,employee95@asu.edu,1200.0,35500,5.28,15,285.94,2023-06-11,28,30295.89,12.7,40000,3333.33,2500.0,11.44,Moderate Burden,9.9,330.0
ASU00000096,Emily,Anderson,employee96@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,48000,4000.0,3000.0,0.0,No Debt,14.4,576.0
ASU00000097,Maria,Johnson,employee97@asu.edu,1000.0,58200,6.54,10,662.03,2022-03-23,43,39696.26,6.4,35000,2916.67,2187.5,30.26,High Burden,4.5,131.25
ASU00000098,Sarah,Taylor,employee98@asu.edu,1000.0,30000,5.5,10,325.58,2020-10-27,60,17302.38,5.0,82000,6833.33,5125.0,6.35,Manageable,10.8,738.0
ASU00000099,Emily,Smith,employee99@asu.edu,800.0,30000,7.05,15,270.49,2015-12-03,119,9077.6,5.1,42000,3500.0,2625.0,10.3,Moderate Burden,3.7,129.5
ASU00000100,Christopher,Garcia,employee100@asu.edu,800.0,30000,6.08,15,254.46,2024-05-11,17,27188.22,13.6,35000,2916.67,2187.5,11.63,Moderate Burden,6.1,177.92
ASU00000101,Matthew,Taylor,employee101@asu.edu,1200.0,0,0.0,0,0.0,N/A,0,0.0,0.0,78000,6500.0,4875.0,0.0,No Debt,13.1,851.5
ASU00000102,Jane,Jones,employee102@asu.edu,1000.0,62900,5.5,20,432.68,2016-04-13,115,30557.17,10.4,49000,4083.33,3062.5,14.13,Moderate Burden,3.7,151.08
ASU00000103,Maria,Moore,employee103@asu.edu,800.0,30000,6.54,10,341.25,2016-06-16,113,4935.19,0.6,38000,3166.67,2375.0,14.37,Moderate Burden,8.3,262.83
ASU00000104,Lisa,Moore,employee104@asu.edu,1200.0,70400,6.08,10,784.42,2017-07-24,99,19922.57,1.8,35000,2916.67,2187.5,35.86,High Burden,1.7,49.58
ASU00000105,Jane,Anderson,employee105@asu.edu,800.0,97100,4.99,20,640.28,2018-06-25,88,60475.98,12.7,43000,3583.33,2687.5,23.82,High Burden,0.8,28.67
ASU00000106,Maria,Rodriguez,employee106@asu.edu,800.0,30000,6.08,15,254.46,2021-09-08,49,21895.45,10.9,35000,2916.67,2187.5,11.63,Moderate Burden,5.9,172.08
ASU00000107,Jennifer,Smith,employee107@asu.edu,1000.0,30000,4.99,10,318.05,2017-03-28,103,8706.55,1.4,74000,6166.67,4625.0,6.88,Manageable,13.5,832.5
ASU00000108,Sarah,Jackson,employee108@asu.edu,1000.0,45500,6.08,15,385.92,2024-07-03,15,41737.28,13.8,47000,3916.67,2937.5,13.14,Moderate Burden,3.8,148.83
ASU00000109,Jennifer,Jackson,employee109@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,120000,10000.0,7500.0,0.0,No Debt,10.3,1030.0
ASU00000110,Matthew,Miller,employee110@asu.edu,800.0,30000,6.08,10,334.27,2023-12-30,21,25437.21,8.2,56000,4666.67,3500.0,9.55,Moderate Burden,6.0,280.0
ASU00000111,Amanda,Jackson,employee111@asu.edu,800.0,77400,7.05,15,697.86,2018-04-12,91,36121.58,7.4,35000,2916.67,2187.5,31.9,High Burden,3.6,105.0
ASU00000112,Matthew,Jones,employee112@asu.edu,1600.0,45000,7.05,10,523.65,2023-04-27,29,35129.2,7.6,38000,3166.67,2375.0,22.05,High Burden,3.2,101.33
ASU00000113,Jessica,Jones,employee113@asu.edu,800.0,30000,6.54,10,341.25,2018-06-10,89,10258.69,2.6,35000,2916.67,2187.5,15.6,High Burden,1.7,49.58
ASU00000114,Jennifer,Moore,employee114@asu.edu,1500.0,30000,4.99,10,318.05,2020-04-08,66,16355.66,4.5,44000,3666.67,2750.0,11.57,Moderate Burden,7.5,275.0
ASU00000115,Daniel,Johnson,employee115@asu.edu,1600.0,52500,5.5,10,569.76,2023-03-07,31,41019.34,7.4,41000,3416.67,2562.5,22.23,High Burden,1.4,47.83
ASU00000116,Lisa,Anderson,employee116@asu.edu,800.0,30000,6.54,10,341.25,2020-03-18,67,15138.56,4.4,35000,2916.67,2187.5,15.6,High Burden,3.8,110.83
ASU00000117,Robert,Williams,employee117@asu.edu,1500.0,0,0.0,0,0.0,N/A,0,0.0,0.0,35000,2916.67,2187.5,0.0,No Debt,10.1,294.58
ASU00000118,Jennifer,Miller,employee118@asu.edu,800.0,30000,7.05,15,270.49,2018-05-10,90,14176.33,7.5,45000,3750.0,2812.5,9.62,Moderate Burden,10.0,375.0
ASU00000119,Jessica,Garcia,employee119@asu.edu,1200.0,32700,4.99,15,258.42,2020-04-19,66,21613.78,9.5,54000,4500.0,3375.0,7.66,Manageable,10.2,459.0
ASU00000120,David,Taylor,employee120@asu.edu,1000.0,38300,7.05,10,445.68,2018-01-29,93,11358.64,2.2,47000,3916.67,2937.5,15.17,High Burden,0.9,35.25
ASU00000121,Amanda,Johnson,employee121@asu.edu,800.0,30000,7.05,15,270.49,2017-10-03,97,12945.61,6.9,35000,2916.67,2187.5,12.37,Moderate Burden,8.2,239.17
ASU00000122,Christopher,Garcia,employee122@asu.edu,800.0,30000,4.99,10,318.05,2016-08-21,111,7052.69,0.8,52000,4333.33,3250.0,9.79,Moderate Burden,4.7,203.67
ASU00000123,Jane,Johnson,employee123@asu.edu,1500.0,47200,7.05,10,549.25,2022-07-20,39,33276.51,6.8,40000,3333.33,2500.0,21.97,High Burden,2.1,70.0
ASU00000124,Matthew,Johnson,employee124@asu.edu,1000.0,0,0.0,0,0.0,N/A,0,0.0,0.0,35000,2916.67,2187.5,0.0,No Debt,8.5,247.92
ASU00000125,David,Johnson,employee125@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,87000,7250.0,5437.5,0.0,No Debt,7.2,522.0
ASU00000126,Jessica,Moore,employee126@asu.edu,1200.0,0,0.0,0,0.0,N/A,0,0.0,0.0,49000,4083.33,3062.5,0.0,No Debt,7.1,289.92
ASU00000127,Maria,Jackson,employee127@asu.edu,800.0,30000,5.5,15,245.13,2015-11-12,120,10879.86,5.0,43000,3583.33,2687.5,9.12,Moderate Burden,6.1,218.58
ASU00000128,Robert,Anderson,employee128@asu.edu,1000.0,30700,5.5,10,333.18,2016-08-22,111,6661.06,0.8,54000,4500.0,3375.0,9.87,Moderate Burden,6.9,310.5
ASU00000129,Lisa,Williams,employee129@asu.edu,1000.0,33200,5.28,10,356.7,2022-11-14,35,25085.08,7.1,54000,4500.0,3375.0,10.57,Moderate Burden,5.8,261.0
ASU00000130,Lisa,Jackson,employee130@asu.edu,800.0,0,0.0,0,0.0,N/A,0,0.0,0.0,39000,3250.0,2437.5,0.0,No Debt,7.1,230.75
ASU00000131,Lisa,Johnson,employee131@asu.edu,800.0,30000,5.5,10,325.58,2024-02-15,19,25979.09,8.4,35000,2916.67,2187.5,14.88,Moderate Burden,7.2,210.0
ASU00000132,Christopher,Brown,employee132@asu.edu,1200.0,0,0.0,0,0.0,N/A,0,0.0,0.0,51000,4250.0,3187.5,0.0,No Debt,14.6,620.5
ASU00000133,Robert,Rodriguez,employee133@asu.edu,800.0,58500,5.28,15,471.19,2022-02-28,43,45330.24,11.4,48000,4000.0,3000.0,15.71,High Burden,1.4,56.0
ASU00000134,Christopher,Garcia,employee134@asu.edu,800.0,30000,6.54,10,341.25,2019-09-09,73,13807.69,3.9,35000,2916.67,2187.5,15.6,High Burden,0.9,26.25
ASU00000135,Matthew,Smith,employee135@asu.edu,800.0,66900,6.08,20,482.39,2021-01-15,57,49027.45,15.2,68000,5666.67,4250.0,11.35,Moderate Burden,8.1,459.0
ASU00000136,Christopher,Davis,employee136@asu.edu,1500.0,93600,4.99,15,739.7,2021-12-10,46,71482.97,11.2,35000,2916.67,2187.5,33.81,High Burden,1.1,32.08
ASU00000137,John,Jackson,employee137@asu.edu,1600.0,30000,7.05,15,270.49,2020-10-01,61,19275.07,9.9,35000,2916.67,2187.5,12.37,Moderate Burden,4.2,122.5
ASU00000138,Robert,Taylor,employee138@asu.edu,800.0,60500,5.28,20,408.69,2019-05-22,77,40045.07,13.6,35000,2916.67,2187.5,18.68,High Burden,5.0,145.83
ASU00000139,Daniel,Moore,employee139@asu.edu,1200.0,63400,4.99,20,418.06,2023-04-17,30,55247.83,17.5,76000,6333.33,4750.0,8.8,Moderate Burden,8.9,563.67
ASU00000140,Robert,Miller,employee140@asu.edu,800.0,30000,6.08,10,334.27,2022-07-10,39,21526.26,6.8,63000,5250.0,3937.5,8.49,Moderate Burden,6.4,336.0
ASU00000141,Jessica,Martinez,employee141@asu.edu,800.0,41100,5.5,10,446.04,2020-02-29,68,21385.03,4.3,81000,6750.0,5062.5,8.81,Moderate Burden,6.7,452.25
ASU00000142,John,Williams,employee142@asu.edu,800.0,54100,5.5,15,442.04,2016-02-09,117,20482.86,5.2,47000,3916.67,2937.5,15.05,High Burden,4.8,188.0
ASU00000143,Lisa,Smith,employee143@asu.edu,1500.0,120000,6.54,20,897.52,2024-01-09,21,107748.85,18.2,70000,5833.33,4375.0,20.51,High Burden,2.9,169.17
ASU00000144,Jessica,Jones,employee144@asu.edu,1000.0,48800,5.28,10,524.3,2021-12-13,46,33123.43,6.2,35000,2916.67,2187.5,23.97,High Burden,1.1,32.08
ASU00000145,Jessica,Thomas,employee145@asu.edu,800.0,73100,5.28,10,785.38,2019-07-03,76,34302.23,3.7,38000,3166.67,2375.0,33.07,High Burden,4.3,136.17
ASU00000146,Matthew,Brown,employee146@asu.edu,800.0,52100,6.54,15,454.99,2021-05-13,53,36425.59,10.6,35000,2916.67,2187.5,20.8,High Burden,3.7,107.92
ASU00000147,James,Martinez,employee147@asu.edu,800.0,55500,4.99,10,588.39,2021-08-22,50,36377.32,5.8,35000,2916.67,2187.5,26.9,High Burden,2.1,61.25
ASU00000148,Michael,Davis,employee148@asu.edu,800.0,30000,5.5,10,325.58,2023-02-22,31,23439.56,7.4,48000,4000.0,3000.0,10.85,Moderate Burden,6.8,272.0
ASU00000149,John,Smith,employee149@asu.edu,800.0,58000,5.5,10,629.45,2016-06-27,112,12176.04,0.7,59000,4916.67,3687.5,17.07,High Burden,2.1,103.25
